direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-17 20:00:00+00:00,2026-03-17 21:00:00+00:00,0.04598,0.04559,0.536,False,-104.8195,-1.0482,9895.18
long,2026-03-18 03:00:00+00:00,2026-03-18 04:00:00+00:00,0.04523,0.04506,0.5207,False,-56.9821,-0.5759,9838.2
short,2026-03-18 12:00:00+00:00,2026-03-18 13:00:00+00:00,0.0442,0.04372,0.5202,False,87.1638,0.886,9925.36
short,2026-03-18 14:00:00+00:00,2026-03-18 15:00:00+00:00,0.04362,0.04308,0.5232,False,103.0217,1.038,10028.38
long,2026-03-20 15:30:00+00:00,2026-03-20 16:30:00+00:00,0.04299,0.04289,0.6152,False,-43.384,-0.4326,9985.0
