direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-17 23:30:00+00:00,2026-03-18 00:00:00+00:00,0.07716,0.07619,0.6343,False,-145.7128,-1.4571,9854.29
long,2026-03-18 04:30:00+00:00,2026-03-18 05:00:00+00:00,0.07883,0.08054,0.6289,False,194.0531,1.9692,10048.34
long,2026-03-18 05:45:00+00:00,2026-03-18 06:15:00+00:00,0.07831,0.07827,0.7065,False,-25.2293,-0.2511,10023.11
long,2026-03-18 07:00:00+00:00,2026-03-18 07:30:00+00:00,0.07792,0.07825,0.5404,False,22.4028,0.2235,10045.51
long,2026-03-18 08:45:00+00:00,2026-03-18 09:15:00+00:00,0.07977,0.07925,0.552,False,-85.5751,-0.8519,9959.94
long,2026-03-18 10:15:00+00:00,2026-03-18 10:45:00+00:00,0.07972,0.0797,0.5639,False,-22.4186,-0.2251,9937.52
long,2026-03-18 12:15:00+00:00,2026-03-18 12:45:00+00:00,0.07933,0.07987,0.5399,False,47.7697,0.4807,9985.29
long,2026-03-18 14:15:00+00:00,2026-03-18 14:45:00+00:00,0.08001,0.08027,0.655,False,12.4776,0.125,9997.77
long,2026-03-18 15:30:00+00:00,2026-03-18 16:00:00+00:00,0.081,0.08139,0.666,False,28.1419,0.2815,10025.91
long,2026-03-18 16:30:00+00:00,2026-03-18 17:00:00+00:00,0.08206,0.08191,0.7023,False,-38.3785,-0.3828,9987.53
long,2026-03-18 17:45:00+00:00,2026-03-18 18:15:00+00:00,0.08048,0.07938,0.6659,False,-156.4846,-1.5668,9831.05
long,2026-03-18 18:45:00+00:00,2026-03-18 19:15:00+00:00,0.0798,0.08044,0.5648,False,59.1834,0.602,9890.23
long,2026-03-18 19:45:00+00:00,2026-03-18 20:15:00+00:00,0.07993,0.08016,0.6202,False,8.6789,0.0878,9898.91
long,2026-03-18 21:00:00+00:00,2026-03-18 21:30:00+00:00,0.08,0.07907,0.6495,False,-134.8726,-1.3625,9764.04
long,2026-03-19 06:30:00+00:00,2026-03-19 07:00:00+00:00,0.07989,0.07906,0.5721,False,-120.9694,-1.2389,9643.07
long,2026-03-19 07:30:00+00:00,2026-03-19 08:00:00+00:00,0.07951,0.08006,0.5417,False,47.4185,0.4917,9690.48
long,2026-03-19 08:30:00+00:00,2026-03-19 09:00:00+00:00,0.07981,0.08093,0.5534,False,116.6088,1.2033,9807.09
long,2026-03-19 10:15:00+00:00,2026-03-19 10:45:00+00:00,0.0816,0.08157,0.5457,False,-23.2197,-0.2368,9783.87
long,2026-03-19 12:00:00+00:00,2026-03-19 12:30:00+00:00,0.08144,0.08241,0.6061,False,96.9641,0.9911,9880.84
long,2026-03-19 13:15:00+00:00,2026-03-19 13:45:00+00:00,0.08256,0.08343,0.7229,False,84.3605,0.8538,9965.2
long,2026-03-19 14:30:00+00:00,2026-03-19 15:00:00+00:00,0.08445,0.08816,0.5618,False,417.8539,4.1931,10383.05
long,2026-03-19 17:45:00+00:00,2026-03-19 18:15:00+00:00,0.08856,0.08707,0.5913,False,-195.4584,-1.8825,10187.59
long,2026-03-20 01:45:00+00:00,2026-03-20 02:15:00+00:00,0.09165,0.09278,0.5633,False,105.2329,1.033,10292.83
long,2026-03-20 02:45:00+00:00,2026-03-20 03:15:00+00:00,0.09135,0.09219,0.5781,False,74.061,0.7195,10366.89
long,2026-03-20 06:00:00+00:00,2026-03-20 06:30:00+00:00,0.09065,0.09206,0.5617,False,140.5162,1.3554,10507.4
long,2026-03-20 18:45:00+00:00,2026-03-20 19:15:00+00:00,0.10173,0.10074,0.5238,False,-123.2691,-1.1732,10384.14
long,2026-03-20 20:15:00+00:00,2026-03-20 20:45:00+00:00,0.10131,0.10114,0.5343,False,-38.193,-0.3678,10345.94
short,2026-03-20 22:15:00+00:00,2026-03-20 22:45:00+00:00,0.09671,0.099,0.5728,False,-265.6739,-2.5679,10080.27
