feature,importance
atr14,0.040273957
roc5,0.025419913
atr7,0.023659123
volatility_20,0.01902445
mom_10,0.017081557
bb_width,0.016757598
rsi7,0.01594939
ma20_dist,0.01591894
day_of_week,0.015809027
rsi14,0.015132068
mom_5,0.014568212
ma10_slope,0.014491207
macd_hist,0.0143631175
ema10_dist,0.014304707
bb_upper_dist,0.013874761
hour,0.013854457
macd_cross_down,0.0138118435
ma20_slope,0.013747306
macd_signal,0.0136408955
dist_low_5,0.013448239
bb_pct,0.013419661
volatility_10,0.013337675
dist_high_20,0.013332819
volume_ratio10,0.013232448
dist_ma100,0.013099889
ma100_dist,0.012918083
return_10,0.012910533
bb_lower_dist,0.01268908
lower_wick,0.012479261
ma10_dist,0.012457601
rsi14_delta,0.012423519
macd_fast_hist,0.012422753
consec_down,0.012333721
macd_line,0.01226349
return_5,0.01218763
return_1,0.012128094
body_size,0.012030311
ema5_dist,0.01196608
rsi14_norm,0.011877058
stoch_d,0.011847286
ma50_dist,0.0115795
cci14,0.01156945
atr_ratio,0.011560417
dist_low_20,0.011548513
ma5_slope,0.011382848
volatility_5,0.011337496
volume_zscore,0.011309633
stoch_delta,0.011298309
ma100_slope,0.011276905
pos_5,0.01121124
ema20_dist,0.011015532
pos_50,0.011009767
volume_delta,0.010955659
return_2,0.010945861
ma50_slope,0.01090263
cci14_delta,0.010801563
consec_up,0.010798592
upper_wick,0.010793115
williams_r,0.010752787
minute,0.010745343
ma5_dist,0.010736388
pos_10,0.010587974
vol_expand,0.010536748
hl_range,0.010480151
macd_hist_delta,0.010399746
dist_high_5,0.010328505
return_3,0.010304277
vol_up,0.010237373
pos_20,0.010176548
macd_fast_delta,0.010134622
volume_ratio5,0.010028227
stoch_k,0.009963117
bb_squeeze,0.0099034775
close_pos,0.009244817
range_atr,0.0086789755
mom_3,0.008450099
open_pos,0.008326223
roc10,0.004519532
rsi_ob,0.004181808
macd_cross_up,0.003498593
is_bullish,0.0
gap,0.0
rsi_os,0.0
above_ma100,0.0
stoch_os,0.0
stoch_ob,0.0
