feature,importance
mom_3,0.04225336
pos_50,0.023188926
ma20_dist,0.021400232
ema5_dist,0.02092496
ma100_slope,0.020719288
mom_5,0.020159356
hour,0.02013935
williams_r,0.018990323
macd_line,0.018943066
ma5_slope,0.018849244
dist_low_20,0.018683258
macd_hist_delta,0.018525107
ma50_dist,0.018371046
ma50_slope,0.018361298
day_of_week,0.017917
range_atr,0.017412284
stoch_k,0.01732188
ma100_dist,0.016835865
return_10,0.016712237
vol_up,0.016670065
body_size,0.01647041
return_2,0.016389664
pos_5,0.015881896
ma10_slope,0.015762614
macd_fast_delta,0.015536553
volume_zscore,0.015395939
dist_high_20,0.015381416
stoch_d,0.01530444
volatility_5,0.014888938
ma5_dist,0.014724296
bb_width,0.014694763
hl_range,0.014668241
rsi14,0.0142731
macd_signal,0.0139124235
ma20_slope,0.013845264
return_1,0.013757341
lower_wick,0.013664213
return_3,0.013496183
rsi7,0.013295019
volume_ratio5,0.013157021
macd_fast_hist,0.013111424
dist_ma100,0.013092556
atr14,0.013036916
bb_lower_dist,0.012782754
pos_10,0.012511051
bb_upper_dist,0.012303712
close_pos,0.012233927
upper_wick,0.012223285
rsi14_delta,0.012071185
cci14,0.011792618
return_5,0.01175232
volume_delta,0.011542782
volatility_10,0.011436599
mom_10,0.011369864
stoch_delta,0.0111642275
volume_ratio10,0.011088529
ema20_dist,0.010935535
atr7,0.010733845
bb_pct,0.010592044
cci14_delta,0.010568752
atr_ratio,0.010508997
volatility_20,0.0101439785
macd_hist,0.0097528305
dist_high_5,0.009578394
dist_low_5,0.0095073
open_pos,0.008678285
ma10_dist,0.008608326
is_bullish,0.0
gap,0.0
consec_up,0.0
consec_down,0.0
rsi14_norm,0.0
rsi_os,0.0
rsi_ob,0.0
ema10_dist,0.0
above_ma100,0.0
macd_cross_down,0.0
macd_cross_up,0.0
bb_squeeze,0.0
vol_expand,0.0
pos_20,0.0
stoch_ob,0.0
stoch_os,0.0
roc5,0.0
roc10,0.0
minute,0.0
