feature,importance
stoch_k,0.02422193
ema10_dist,0.021515269
mom_5,0.020619122
macd_hist,0.019989856
pos_10,0.01967223
rsi14,0.019268177
dist_ma100,0.018832764
rsi7,0.018570686
williams_r,0.018524509
return_5,0.018142417
ma10_dist,0.017698474
bb_width,0.017446345
bb_upper_dist,0.016699228
bb_pct,0.016309699
macd_fast_hist,0.016236749
pos_20,0.015743675
ma100_slope,0.015706513
volatility_10,0.015703937
dist_high_5,0.015601519
day_of_week,0.015534342
macd_signal,0.015338891
volatility_5,0.015219165
dist_high_20,0.015180515
ma100_dist,0.015162329
cci14,0.014557801
rsi14_delta,0.01448447
macd_line,0.014323025
open_pos,0.014251678
volatility_20,0.014128142
ma20_dist,0.014050326
ma50_dist,0.013984314
dist_low_20,0.013956597
pos_5,0.013757967
close_pos,0.013753385
ma5_slope,0.01373579
stoch_delta,0.013698672
ema20_dist,0.013619026
range_atr,0.013617013
return_1,0.013565733
hour,0.0135462135
stoch_d,0.013534926
atr14,0.013519895
ma20_slope,0.01338107
return_10,0.013369284
pos_50,0.013227695
cci14_delta,0.0130574135
return_3,0.012879519
atr7,0.012272748
volume_ratio10,0.012269526
dist_low_5,0.0121758375
volume_delta,0.012169848
ma50_slope,0.012153278
bb_lower_dist,0.012119388
ma10_slope,0.01204402
ema5_dist,0.011962695
volume_zscore,0.011890695
upper_wick,0.011598233
volume_ratio5,0.011287029
vol_up,0.011236677
consec_up,0.011019996
macd_hist_delta,0.010962531
return_2,0.010901828
atr_ratio,0.010866042
bb_squeeze,0.009697685
lower_wick,0.009473662
macd_fast_delta,0.009320578
minute,0.008245188
hl_range,0.007990652
vol_expand,0.007940518
ma5_dist,0.0074098874
mom_3,0.007072091
body_size,0.0069809933
is_bullish,0.0
gap,0.0
consec_down,0.0
above_ma100,0.0
macd_cross_down,0.0
macd_cross_up,0.0
rsi_os,0.0
rsi14_norm,0.0
rsi_ob,0.0
stoch_ob,0.0
stoch_os,0.0
mom_10,0.0
roc5,0.0
roc10,0.0
