direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
short,2026-03-17 05:21:00+00:00,2026-03-17 05:30:00+00:00,0.003124,0.003118,0.6534,False,-0.7939,-0.0079,9999.21
short,2026-03-18 06:12:00+00:00,2026-03-18 06:27:00+00:00,0.00304,0.003025,0.6445,False,29.3398,0.2934,10028.55
long,2026-03-18 15:18:00+00:00,2026-03-18 15:24:00+00:00,0.002923,0.002955,0.885,False,89.732,0.8948,10118.28
short,2026-03-18 17:18:00+00:00,2026-03-18 17:27:00+00:00,0.002861,0.002888,0.7796,False,-115.7254,-1.1437,10002.55
short,2026-03-19 08:36:00+00:00,2026-03-19 08:42:00+00:00,0.002725,0.002734,0.7016,False,-53.0411,-0.5303,9949.51
short,2026-03-19 10:15:00+00:00,2026-03-19 10:39:00+00:00,0.002757,0.002739,0.6257,False,45.0597,0.4529,9994.57
long,2026-03-20 14:33:00+00:00,2026-03-20 14:39:00+00:00,0.002691,0.002678,0.6681,False,-68.2721,-0.6831,9926.3
short,2026-03-20 15:15:00+00:00,2026-03-20 15:24:00+00:00,0.002653,0.00265,0.6379,False,-8.628,-0.0869,9917.67
