direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-17 21:30:00+00:00,2026-03-17 21:45:00+00:00,0.04559,0.04598,0.8173,False,65.5451,0.6555,10065.55
long,2026-03-17 23:45:00+00:00,2026-03-18 00:00:00+00:00,0.04554,0.04518,0.7973,False,-99.7006,-0.9905,9965.84
long,2026-03-18 08:00:00+00:00,2026-03-18 08:15:00+00:00,0.04541,0.04571,0.7059,False,45.9074,0.4606,10011.75
short,2026-03-18 13:15:00+00:00,2026-03-18 13:30:00+00:00,0.04372,0.04369,0.6763,False,-13.1536,-0.1314,9998.6
short,2026-03-19 06:30:00+00:00,2026-03-19 06:45:00+00:00,0.04356,0.04375,0.6578,False,-63.6091,-0.6362,9934.99
short,2026-03-19 13:45:00+00:00,2026-03-19 14:00:00+00:00,0.04248,0.04245,0.7303,False,-12.8537,-0.1294,9922.14
