direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-23 11:15:00+00:00,2026-03-23 11:15:00+00:00,0.002372,0.002382,0.91,False,22.1585,0.2216,10022.16
long,2026-03-23 11:25:00+00:00,2026-03-23 11:25:00+00:00,0.002378,0.002378,0.7101,False,-20.0443,-0.2,10002.11
short,2026-03-26 15:05:00+00:00,2026-03-26 15:05:00+00:00,0.002083,0.002066,0.657,False,61.6261,0.6161,10063.74
short,2026-03-27 06:05:00+00:00,2026-03-27 06:05:00+00:00,0.001871,0.001864,0.6221,False,17.5241,0.1741,10081.26
short,2026-03-27 10:50:00+00:00,2026-03-27 10:50:00+00:00,0.00176,0.001775,0.7213,False,-106.0824,-1.0523,9975.18
