direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
long,2026-03-25 01:15:00+00:00,2026-03-25 01:30:00+00:00,1.41683,1.71966,0.5458,2117.3771,21.1738,12117.38
long,2026-03-25 02:00:00+00:00,2026-03-25 02:15:00+00:00,1.43914,1.73705,0.5864,2484.1298,20.5006,14601.51
long,2026-03-25 02:45:00+00:00,2026-03-25 03:00:00+00:00,1.72427,1.71718,0.5557,-89.2427,-0.6112,14512.26
long,2026-03-25 03:00:00+00:00,2026-03-25 03:15:00+00:00,1.6702,1.73704,0.5461,551.7441,3.8019,15064.01
long,2026-03-25 03:45:00+00:00,2026-03-25 04:00:00+00:00,1.72746,1.7156,0.537,-133.551,-0.8866,14930.46
long,2026-03-25 04:00:00+00:00,2026-03-25 04:15:00+00:00,1.82041,1.77337,0.5555,-415.6689,-2.784,14514.79
long,2026-03-25 04:15:00+00:00,2026-03-25 04:30:00+00:00,1.7156,1.77811,0.7265,499.8346,3.4436,15014.62
long,2026-03-25 04:30:00+00:00,2026-03-25 04:45:00+00:00,1.77337,1.79503,0.687,153.3599,1.0214,15167.98
long,2026-03-25 04:45:00+00:00,2026-03-25 05:00:00+00:00,1.77811,1.8397,0.5861,495.0511,3.2638,15663.03
long,2026-03-25 05:15:00+00:00,2026-03-25 05:30:00+00:00,1.8397,1.82662,0.6504,-142.688,-0.911,15520.35
long,2026-03-25 05:30:00+00:00,2026-03-25 05:45:00+00:00,1.89775,1.90904,0.5728,61.2922,0.3949,15581.64
long,2026-03-25 05:45:00+00:00,2026-03-25 06:00:00+00:00,1.82662,2.05,0.5905,1874.3378,12.0291,17455.98
long,2026-03-25 06:00:00+00:00,2026-03-25 06:15:00+00:00,1.90904,2.11898,0.5838,1884.748,10.7972,19340.72
long,2026-03-25 06:30:00+00:00,2026-03-25 06:45:00+00:00,2.11898,2.11533,0.524,-71.9964,-0.3723,19268.73
long,2026-03-25 06:45:00+00:00,2026-03-25 07:00:00+00:00,2.09049,2.27312,0.6213,1644.8228,8.5362,20913.55
long,2026-03-25 07:00:00+00:00,2026-03-25 07:15:00+00:00,2.11533,2.28321,0.6103,1617.9455,7.7364,22531.5
long,2026-03-25 07:30:00+00:00,2026-03-25 07:45:00+00:00,2.28321,2.07077,0.5221,-2141.4934,-9.5044,20390.0
long,2026-03-25 08:00:00+00:00,2026-03-25 08:15:00+00:00,2.07077,2.2193,0.6525,1421.7325,6.9727,21811.73
long,2026-03-25 08:15:00+00:00,2026-03-25 08:30:00+00:00,2.1772,2.20887,0.6764,273.6545,1.2546,22085.39
long,2026-03-25 08:30:00+00:00,2026-03-25 08:45:00+00:00,2.2193,2.09445,0.6169,-1286.617,-5.8256,20798.77
long,2026-03-25 08:45:00+00:00,2026-03-25 09:00:00+00:00,2.20887,2.12669,0.5827,-815.4064,-3.9205,19983.37
long,2026-03-25 09:00:00+00:00,2026-03-25 09:15:00+00:00,2.09445,2.12938,0.5763,293.304,1.4677,20276.67
long,2026-03-25 09:15:00+00:00,2026-03-25 09:30:00+00:00,2.12669,2.1119,0.5832,-181.5668,-0.8954,20095.1
long,2026-03-25 11:30:00+00:00,2026-03-25 11:45:00+00:00,2.17137,2.11298,0.5788,-580.5648,-2.8891,19514.54
long,2026-03-25 12:00:00+00:00,2026-03-25 12:15:00+00:00,2.11298,2.14431,0.568,250.3208,1.2827,19764.86
long,2026-03-25 12:15:00+00:00,2026-03-25 12:30:00+00:00,2.17467,2.15791,0.5469,-191.8558,-0.9707,19573.0
long,2026-03-25 12:45:00+00:00,2026-03-25 13:00:00+00:00,2.15791,2.21636,0.5313,491.0161,2.5086,20064.02
long,2026-03-25 16:45:00+00:00,2026-03-25 17:00:00+00:00,2.00101,2.17826,0.5517,1737.1482,8.658,21801.17
long,2026-03-25 17:00:00+00:00,2026-03-25 17:15:00+00:00,2.14714,2.19994,0.5796,492.5069,2.2591,22293.67
long,2026-03-25 23:30:00+00:00,2026-03-25 23:45:00+00:00,2.10409,2.05232,0.5264,-593.1112,-2.6604,21700.56
long,2026-03-26 00:15:00+00:00,2026-03-26 00:30:00+00:00,2.17052,2.25859,0.6712,837.1107,3.8576,22537.67
long,2026-03-26 00:30:00+00:00,2026-03-26 00:45:00+00:00,2.16859,2.29481,0.5722,1266.7011,5.6204,23804.38
long,2026-03-26 01:00:00+00:00,2026-03-26 01:15:00+00:00,2.29481,2.18239,0.5349,-1213.7567,-5.0989,22590.62
long,2026-03-26 01:15:00+00:00,2026-03-26 01:30:00+00:00,2.22877,2.18454,0.5931,-493.4927,-2.1845,22097.13
long,2026-03-26 01:30:00+00:00,2026-03-26 01:45:00+00:00,2.18239,2.27682,0.5734,911.928,4.1269,23009.05
long,2026-03-26 01:45:00+00:00,2026-03-26 02:00:00+00:00,2.18454,2.25462,0.589,692.1119,3.008,23701.17
long,2026-03-26 03:00:00+00:00,2026-03-26 03:15:00+00:00,2.18477,1.89025,0.5241,-3242.4606,-13.6806,20458.71
long,2026-03-28 01:15:00+00:00,2026-03-28 01:30:00+00:00,0.96888,0.99303,0.5312,469.0299,2.2926,20927.74
long,2026-03-28 02:15:00+00:00,2026-03-28 02:30:00+00:00,0.92339,1.0231,0.5839,2217.9746,10.5983,23145.71
long,2026-03-28 02:30:00+00:00,2026-03-28 02:45:00+00:00,1.00368,0.98599,0.5549,-454.2378,-1.9625,22691.47
long,2026-03-28 02:45:00+00:00,2026-03-28 03:00:00+00:00,1.0231,1.00744,0.6069,-392.7082,-1.7306,22298.76
long,2026-03-28 03:00:00+00:00,2026-03-28 03:15:00+00:00,0.98599,1.04692,0.5297,1333.3715,5.9796,23632.14
long,2026-03-28 03:15:00+00:00,2026-03-28 03:30:00+00:00,1.00744,1.14547,0.5553,3190.5897,13.5011,26822.73
long,2026-03-28 06:15:00+00:00,2026-03-28 06:30:00+00:00,1.67993,1.51291,0.5526,-2720.3825,-10.1421,24102.34
long,2026-03-28 06:45:00+00:00,2026-03-28 07:00:00+00:00,1.51291,1.60919,0.5839,1485.643,6.1639,25587.99
long,2026-03-28 07:00:00+00:00,2026-03-28 07:15:00+00:00,1.65145,1.63508,0.5644,-304.8169,-1.1913,25283.17
long,2026-03-28 07:15:00+00:00,2026-03-28 07:30:00+00:00,1.60919,1.64436,0.6341,502.0154,1.9856,25785.18
long,2026-03-28 07:30:00+00:00,2026-03-28 07:45:00+00:00,1.63508,1.67016,0.5753,501.6406,1.9455,26286.82
long,2026-03-28 07:45:00+00:00,2026-03-28 08:00:00+00:00,1.64436,1.66516,0.5934,279.9362,1.0649,26566.76
long,2026-03-28 08:00:00+00:00,2026-03-28 08:15:00+00:00,1.67016,1.685,0.5245,182.9221,0.6885,26749.68
long,2026-03-28 09:15:00+00:00,2026-03-28 09:30:00+00:00,1.82057,1.80855,0.5611,-230.1095,-0.8602,26519.57
long,2026-03-28 09:30:00+00:00,2026-03-28 09:45:00+00:00,1.81117,1.80566,0.5393,-133.7179,-0.5042,26385.86
long,2026-03-28 09:45:00+00:00,2026-03-28 10:00:00+00:00,1.80855,1.84183,0.5238,432.7671,1.6401,26818.62
long,2026-03-28 10:30:00+00:00,2026-03-28 10:45:00+00:00,1.7178,1.59356,0.5967,-1993.2959,-7.4325,24825.33
long,2026-03-28 11:00:00+00:00,2026-03-28 11:15:00+00:00,1.59356,1.64468,0.5543,746.7239,3.0079,25572.05
long,2026-03-28 11:45:00+00:00,2026-03-28 12:00:00+00:00,1.61005,1.75927,0.589,2318.8826,9.068,27890.93
long,2026-03-28 13:30:00+00:00,2026-03-28 13:45:00+00:00,1.6348,1.75582,0.5854,2008.9115,7.2027,29899.84
long,2026-03-28 13:45:00+00:00,2026-03-28 14:00:00+00:00,1.68944,1.75244,0.5268,1055.1794,3.529,30955.02
