direction,entry_time,exit_time,entry_price,exit_price,prob,pnl,pnl_pct,capital
short,2026-03-27 19:15:00+00:00,2026-03-27 19:15:00+00:00,0.81529,0.78579,0.528,341.8344,3.4183,10341.83
short,2026-03-27 21:30:00+00:00,2026-03-27 21:30:00+00:00,0.81212,0.81339,0.5688,-36.8563,-0.3564,10304.98
short,2026-03-27 22:00:00+00:00,2026-03-27 22:00:00+00:00,0.81439,0.82402,0.5388,-142.4643,-1.3825,10162.51
short,2026-03-27 22:15:00+00:00,2026-03-27 22:15:00+00:00,0.82402,0.82773,0.5436,-66.0799,-0.6502,10096.43
short,2026-03-27 22:30:00+00:00,2026-03-27 22:30:00+00:00,0.82773,0.83381,0.5596,-94.3551,-0.9345,10002.08
short,2026-03-27 22:45:00+00:00,2026-03-27 22:45:00+00:00,0.83381,0.8043,0.5698,333.987,3.3392,10336.07
