direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
short,2026-04-01 05:45:00+00:00,2026-04-01 06:00:00+00:00,0.27213,0.24899,0.6534,False,830.3289,8.3033,10830.33
short,2026-04-01 07:15:00+00:00,2026-04-01 07:30:00+00:00,0.29034,0.30561,0.6532,False,-591.2657,-5.4594,10239.06
short,2026-04-01 09:45:00+00:00,2026-04-01 10:00:00+00:00,0.29,0.29196,0.6547,False,-89.6801,-0.8759,10149.38
short,2026-04-01 11:30:00+00:00,2026-04-01 11:45:00+00:00,0.29099,0.28273,0.7035,False,267.8002,2.6386,10417.18
short,2026-04-01 23:15:00+00:00,2026-04-01 23:30:00+00:00,0.26961,0.25538,0.6682,False,528.984,5.078,10946.17
short,2026-04-02 05:30:00+00:00,2026-04-02 05:45:00+00:00,0.24616,0.24174,0.6518,False,174.6549,1.5956,11120.82
short,2026-04-02 07:15:00+00:00,2026-04-02 07:30:00+00:00,0.24705,0.24454,0.6931,False,90.7446,0.816,11211.57
short,2026-04-02 12:15:00+00:00,2026-04-02 12:30:00+00:00,0.19925,0.20019,0.7244,False,-75.3158,-0.6718,11136.25
short,2026-04-02 13:15:00+00:00,2026-04-02 13:30:00+00:00,0.19028,0.19028,0.6749,False,-22.2725,-0.2,11113.98
short,2026-04-02 14:30:00+00:00,2026-04-02 14:45:00+00:00,0.19361,0.19501,0.6778,False,-102.5935,-0.9231,11011.38
short,2026-04-02 20:00:00+00:00,2026-04-02 20:15:00+00:00,0.17945,0.17672,0.6645,False,145.4951,1.3213,11156.88
short,2026-04-02 20:45:00+00:00,2026-04-02 21:00:00+00:00,0.1822,0.1852,0.6573,False,-206.0165,-1.8465,10950.86
short,2026-04-02 21:45:00+00:00,2026-04-02 22:00:00+00:00,0.19071,0.19666,0.7108,False,-363.5599,-3.3199,10587.3
short,2026-04-03 00:30:00+00:00,2026-04-03 00:45:00+00:00,0.19245,0.18586,0.6582,False,341.3628,3.2243,10928.67
short,2026-04-05 21:30:00+00:00,2026-04-05 21:45:00+00:00,0.52525,0.50443,0.6614,False,411.3361,3.7638,11340.0
short,2026-04-05 23:15:00+00:00,2026-04-05 23:30:00+00:00,0.52656,0.52382,0.7069,False,36.3287,0.3204,11376.33
