direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-17 16:14:00+00:00,2026-03-17 16:16:00+00:00,0.75172,0.74517,0.6696,False,-107.1335,-1.0713,9892.87
short,2026-03-17 16:38:00+00:00,2026-03-17 16:40:00+00:00,0.739,0.73885,0.6041,False,-17.7777,-0.1797,9875.09
short,2026-03-17 17:02:00+00:00,2026-03-17 17:04:00+00:00,0.7375,0.74002,0.6179,False,-53.4929,-0.5417,9821.6
short,2026-03-17 17:10:00+00:00,2026-03-17 17:12:00+00:00,0.73635,0.72866,0.6203,False,82.9277,0.8443,9904.52
short,2026-03-17 17:18:00+00:00,2026-03-17 17:20:00+00:00,0.72856,0.7241,0.5918,False,40.8231,0.4122,9945.35
short,2026-03-17 17:27:00+00:00,2026-03-17 17:29:00+00:00,0.72312,0.72387,0.6407,False,-30.2057,-0.3037,9915.14
short,2026-03-17 17:38:00+00:00,2026-03-17 17:40:00+00:00,0.72636,0.72471,0.6003,False,2.693,0.0272,9917.83
short,2026-03-17 17:43:00+00:00,2026-03-17 17:45:00+00:00,0.73156,0.72699,0.6303,False,42.1203,0.4247,9959.95
short,2026-03-17 18:09:00+00:00,2026-03-17 18:11:00+00:00,0.72464,0.72242,0.5833,False,10.5933,0.1064,9970.55
short,2026-03-17 19:03:00+00:00,2026-03-17 19:05:00+00:00,0.7168,0.72348,0.6951,False,-112.8586,-1.1319,9857.69
long,2026-03-17 19:22:00+00:00,2026-03-17 19:24:00+00:00,0.73706,0.7403,0.7392,False,23.6175,0.2396,9881.31
long,2026-03-17 19:27:00+00:00,2026-03-17 19:29:00+00:00,0.73766,0.737,0.6802,False,-28.6036,-0.2895,9852.7
long,2026-03-17 19:31:00+00:00,2026-03-17 19:33:00+00:00,0.73526,0.7344,0.6043,False,-31.2297,-0.317,9821.47
long,2026-03-17 19:49:00+00:00,2026-03-17 19:51:00+00:00,0.73121,0.73192,0.5893,False,-10.1064,-0.1029,9811.37
short,2026-03-17 21:30:00+00:00,2026-03-17 21:32:00+00:00,0.72288,0.72176,0.6482,False,-4.4214,-0.0451,9806.95
short,2026-03-17 22:01:00+00:00,2026-03-17 22:03:00+00:00,0.71364,0.71797,0.6083,False,-79.1174,-0.8067,9727.83
short,2026-03-17 22:08:00+00:00,2026-03-17 22:10:00+00:00,0.71887,0.716,0.5801,False,19.3815,0.1992,9747.21
short,2026-03-17 22:15:00+00:00,2026-03-17 22:17:00+00:00,0.71592,0.71604,0.6217,False,-21.1282,-0.2168,9726.08
