direction,entry_time,exit_time,entry_price,exit_price,prob,sl_hit,pnl,pnl_pct,capital
long,2026-03-19 20:29:00+00:00,2026-03-19 20:30:00+00:00,0.08969,0.0897,0.7081,False,-18.885,-0.1889,9981.11
long,2026-03-19 21:37:00+00:00,2026-03-19 21:39:00+00:00,0.09175,0.09217,0.6692,False,25.7279,0.2578,10006.84
long,2026-03-19 21:49:00+00:00,2026-03-19 21:50:00+00:00,0.09156,0.09159,0.7033,False,-16.7349,-0.1672,9990.11
long,2026-03-19 22:19:00+00:00,2026-03-19 22:20:00+00:00,0.09422,0.094,0.7711,False,-43.3067,-0.4335,9946.8
long,2026-03-19 22:26:00+00:00,2026-03-19 22:27:00+00:00,0.09337,0.09325,0.7893,False,-32.6773,-0.3285,9914.12
short,2026-03-20 00:18:00+00:00,2026-03-20 00:19:00+00:00,0.09418,0.09371,0.6595,False,29.6476,0.299,9943.77
short,2026-03-20 00:25:00+00:00,2026-03-20 00:26:00+00:00,0.09414,0.09447,0.7177,False,-54.7446,-0.5505,9889.03
long,2026-03-20 00:44:00+00:00,2026-03-20 00:45:00+00:00,0.09515,0.09524,0.7743,False,-10.4243,-0.1054,9878.6
short,2026-03-20 02:53:00+00:00,2026-03-20 02:54:00+00:00,0.09149,0.09174,0.6683,False,-46.7509,-0.4733,9831.85
short,2026-03-20 03:07:00+00:00,2026-03-20 03:08:00+00:00,0.09197,0.09204,0.7921,False,-27.1469,-0.2761,9804.7
short,2026-03-20 04:39:00+00:00,2026-03-20 04:40:00+00:00,0.09212,0.09101,0.8434,False,98.5324,1.005,9903.24
short,2026-03-20 05:14:00+00:00,2026-03-20 05:15:00+00:00,0.09288,0.09274,0.8323,False,-4.8791,-0.0493,9898.36
short,2026-03-20 06:20:00+00:00,2026-03-20 06:21:00+00:00,0.09155,0.09193,0.8548,False,-60.8822,-0.6151,9837.48
long,2026-03-20 07:26:00+00:00,2026-03-20 07:27:00+00:00,0.09386,0.09399,0.6792,False,-6.0496,-0.0615,9831.43
long,2026-03-20 07:46:00+00:00,2026-03-20 07:47:00+00:00,0.0938,0.09378,0.7876,False,-21.7591,-0.2213,9809.67
long,2026-03-20 08:15:00+00:00,2026-03-20 08:16:00+00:00,0.09334,0.09319,0.6895,False,-35.3837,-0.3607,9774.28
short,2026-03-20 08:25:00+00:00,2026-03-20 08:26:00+00:00,0.09312,0.0935,0.6891,False,-59.435,-0.6081,9714.85
