timestamp,open,high,low,close,volume,datetime
1772172900000,0.37049,0.3809,0.36118,0.36307,443630.0,2026-02-27 06:15:00+00:00
1772173800000,0.36307,0.36827,0.36038,0.36463,270130.0,2026-02-27 06:30:00+00:00
1772174700000,0.36463,0.36616,0.35648,0.36465,224340.0,2026-02-27 06:45:00+00:00
1772175600000,0.36465,0.37016,0.363,0.36477,219420.0,2026-02-27 07:00:00+00:00
1772176500000,0.36477,0.36477,0.34819,0.35485,793800.0,2026-02-27 07:15:00+00:00
1772177400000,0.35485,0.35692,0.35146,0.3538,346140.0,2026-02-27 07:30:00+00:00
1772178300000,0.3538,0.35929,0.34821,0.35289,319090.0,2026-02-27 07:45:00+00:00
1772179200000,0.35289,0.356,0.344,0.34844,321770.0,2026-02-27 08:00:00+00:00
1772180100000,0.34844,0.3504,0.34246,0.34649,315450.0,2026-02-27 08:15:00+00:00
1772181000000,0.34649,0.34985,0.34272,0.34985,279990.0,2026-02-27 08:30:00+00:00
1772181900000,0.34985,0.35233,0.34079,0.34634,205370.0,2026-02-27 08:45:00+00:00
1772182800000,0.34634,0.34893,0.34351,0.34463,160310.0,2026-02-27 09:00:00+00:00
1772183700000,0.34463,0.346,0.34067,0.34532,159380.0,2026-02-27 09:15:00+00:00
1772184600000,0.34532,0.34675,0.34,0.34179,164010.0,2026-02-27 09:30:00+00:00
1772185500000,0.34179,0.34512,0.33598,0.34401,376830.0,2026-02-27 09:45:00+00:00
1772186400000,0.34401,0.35829,0.34392,0.35332,994980.0,2026-02-27 10:00:00+00:00
1772187300000,0.35332,0.36097,0.35253,0.35453,513050.0,2026-02-27 10:15:00+00:00
1772188200000,0.35453,0.3726,0.35363,0.3695,521620.0,2026-02-27 10:30:00+00:00
1772189100000,0.3695,0.37725,0.36643,0.37113,423770.0,2026-02-27 10:45:00+00:00
1772190000000,0.37113,0.37866,0.36862,0.37353,439740.0,2026-02-27 11:00:00+00:00
1772190900000,0.37353,0.38732,0.37146,0.38323,745690.0,2026-02-27 11:15:00+00:00
1772191800000,0.38323,0.38874,0.37637,0.38787,555520.0,2026-02-27 11:30:00+00:00
