timestamp,open,high,low,close,volume
1770924600000,21.3023,21.4415,20.7763,20.8827,7353.47
1770925500000,20.8827,21.0063,20.453,20.6832,4304.96
1770926400000,20.6832,20.9165,20.3176,20.4981,4557.18
1770927300000,20.4981,20.7489,20.1257,20.2476,4346.13
1770928200000,20.2476,21.1055,20.1678,20.9866,5114.28
1770929100000,20.9866,22.1313,20.9718,22.0073,9171.73
1770930000000,22.0073,22.24,21.6325,22.1113,8034.52
1770930900000,22.1113,22.2192,21.6961,21.8965,6141.61
1770931800000,21.8965,21.9202,21.4595,21.675,5439.34
1770932700000,21.675,22.0297,21.6686,21.7616,4462.18
1770933600000,21.7616,22.0,21.5238,21.6931,4706.49
1770934500000,21.6931,22.0631,21.6051,22.0133,3014.71
1770935400000,22.0133,22.5,21.9116,22.2807,3389.26
1770936300000,22.2807,24.2799,22.2685,23.7751,10510.56
1770937200000,23.7751,23.8623,22.6981,23.3155,8626.33
1770938100000,23.3155,23.3155,22.2095,22.2513,6824.2
1770939000000,22.2513,22.5611,21.7789,22.2949,7855.07
1770939900000,22.2949,22.3333,21.7431,22.2709,6796.67
1770940800000,22.2709,22.2709,21.7239,22.0316,6327.23
1770941700000,22.0316,22.9952,21.75,22.7496,8684.45
1770942600000,22.7496,22.8279,20.4,21.2621,18878.58
1770943500000,21.2621,21.6883,20.9748,21.6488,7054.71
1770944400000,21.6488,21.94,21.4359,21.6929,7465.49
1770945300000,21.6929,21.7333,21.2,21.7333,5146.61
1770946200000,21.7333,22.19,21.58,22.0109,6523.4
1770947100000,22.0109,22.4345,21.9246,22.0068,7179.25
1770948000000,22.0068,22.1069,21.6828,21.7992,7326.99
1770948900000,21.7992,21.909,21.2157,21.239,5496.38
1770949800000,21.239,21.45,21.0833,21.2966,4963.81
1770950700000,21.2966,21.5223,20.8299,21.0457,5913.46
1770951600000,21.0457,21.2436,20.8889,20.9317,4958.41
1770952500000,20.9317,21.2025,20.75,21.1216,6581.29
1770953400000,21.1216,21.4311,21.0342,21.4052,6372.36
1770954300000,21.4052,21.6,21.1753,21.2359,7080.72
1770955200000,21.2359,21.4679,20.8473,21.3901,6057.39
1770956100000,21.3901,21.4603,20.7611,21.0901,6437.64
1770957000000,21.0901,21.0901,20.4029,20.6729,8600.93
1770957900000,20.6729,21.3309,20.6663,20.9951,7940.85
1770958800000,20.9951,21.0505,20.4,20.6649,4921.27
1770959700000,20.6649,20.8773,20.1373,20.34,4365.26
1770960600000,20.34,20.4546,20.0863,20.1633,2515.21
1770961500000,20.1633,20.2069,19.7226,19.9015,5039.86
1770962400000,19.9015,20.3064,19.7571,20.2028,4848.7
1770963300000,20.2028,20.2551,19.744,19.9547,3482.09
1770964200000,19.9547,20.5479,19.9547,20.3588,3193.72
1770965100000,20.3588,20.7843,20.2906,20.7084,2869.41
1770966000000,20.7084,20.9091,20.5246,20.641,3616.21
1770966900000,20.641,20.8381,20.2,20.2874,3442.63
1770967800000,20.2874,20.7155,20.2509,20.4374,3030.47
1770968700000,20.4374,20.6564,20.3459,20.5804,2001.58
1770969600000,20.5804,20.6536,19.97,19.9862,4486.49
1770970500000,19.9862,20.3222,19.9513,20.0525,1723.08
1770971400000,20.0525,20.1406,19.7768,19.8,3971.72
1770972300000,19.8,19.9088,19.3449,19.4596,3286.28
1770973200000,19.4596,19.4879,19.1329,19.2771,3781.33
1770974100000,19.2771,19.6667,19.2598,19.6278,2759.78
1770975000000,19.6278,19.8671,19.4127,19.7763,3682.5
1770975900000,19.7763,19.8809,19.6901,19.7447,1688.46
1770976800000,19.7447,20.0536,19.5706,19.856,2568.89
1770977700000,19.856,20.0155,19.7584,19.8874,1767.0
1770978600000,19.8874,20.0047,19.5595,19.6352,2853.64
1770979500000,19.6352,19.7099,19.423,19.6037,1779.21
1770980400000,19.6037,19.8772,19.5816,19.796,1928.74
1770981300000,19.796,20.0133,19.7162,19.7955,3298.01
1770982200000,19.7955,20.1162,19.7531,20.0228,2529.77
1770983100000,20.0228,20.08,19.7911,19.888,2239.82
1770984000000,19.888,20.2363,19.7513,20.1405,2505.46
1770984900000,20.1405,20.1594,19.8248,19.946,5085.51
1770985800000,19.946,20.0085,19.4797,19.4801,4132.17
1770986700000,19.4801,19.5871,19.226,19.4024,4960.24
1770987600000,19.4024,19.4585,19.0,19.108,5708.02
1770988500000,19.108,19.2631,19.0116,19.2588,2595.66
1770989400000,19.2588,19.6473,19.1047,19.5446,4147.37
1770990300000,19.5446,19.6587,19.3045,19.3963,2593.21
1770991200000,19.3963,19.4448,19.1309,19.2021,3305.31
1770992100000,19.2021,19.2824,18.7499,18.9785,5578.49
1770993000000,18.9785,19.2,18.75,18.8857,2656.81
1770993900000,18.8857,19.1442,18.7993,18.8114,1693.42
1770994800000,18.8114,18.938,18.6667,18.8406,3069.5
1770995700000,18.8406,19.0934,18.7175,19.0934,1948.61
1770996600000,19.0934,19.3155,18.8884,18.929,2461.39
1770997500000,18.929,18.929,18.4155,18.6269,4424.13
1770998400000,18.6269,19.057,18.4135,19.037,4976.68
1770999300000,19.037,19.0911,18.7357,18.7898,2151.58
1771000200000,18.7898,19.5376,18.7632,19.3297,8322.42
1771001100000,19.3297,19.48,19.2567,19.2833,4544.29
1771002000000,19.2833,19.6684,19.2833,19.4578,3881.05
1771002900000,19.4578,19.5982,19.3333,19.3925,2958.13
1771003800000,19.3925,19.5833,19.0108,19.0802,3754.7
1771004700000,19.0802,19.1369,18.3175,18.6077,6476.86
1771005600000,18.6077,19.0047,18.4444,18.7471,3049.18
1771006500000,18.7471,19.0044,18.7067,18.8881,1346.88
1771007400000,18.8881,19.0683,18.8,18.8577,2237.0
1771008300000,18.8577,18.8999,18.3963,18.4818,3096.49
1771009200000,18.4818,18.82,18.4477,18.6689,2608.78
1771010100000,18.6689,18.6689,18.2902,18.413,3561.97
1771011000000,18.413,18.4715,18.0,18.388,3836.49
1771011900000,18.388,19.25,18.343,18.6371,3472.09
1771012800000,18.6371,18.6877,17.9524,18.2434,5332.94
1771013700000,18.2434,18.2801,18.0125,18.0527,3041.79
1771014600000,18.0527,18.1663,17.9482,18.0719,1347.92
1771015500000,18.0719,18.1443,17.8,18.0059,2341.91
1771016400000,18.0059,18.1961,17.9453,18.0526,1343.2
1771017300000,18.0526,18.2109,18.0269,18.084,1415.44
1771018200000,18.084,18.3842,18.0593,18.3246,2532.68
1771019100000,18.3246,18.5838,18.3111,18.5098,2701.01
1771020000000,18.5098,18.5893,18.1343,18.2389,2763.54
1771020900000,18.2389,18.4364,18.2389,18.3877,1736.34
1771021800000,18.3877,18.42,18.1732,18.1949,1214.61
1771022700000,18.1949,18.3333,17.94,18.1259,2500.69
1771023600000,18.1259,18.3513,18.1,18.2028,1566.07
1771024500000,18.2028,18.2503,17.85,18.112,2991.27
1771025400000,18.112,18.3384,18.112,18.2484,1874.59
1771026300000,18.2484,18.4601,18.2073,18.4601,2257.07
1771027200000,18.4601,18.48,18.2192,18.4074,5224.34
1771028100000,18.4074,18.4979,18.2387,18.3093,1902.91
1771029000000,18.3093,18.5721,18.2185,18.2679,3037.43
1771029900000,18.2679,18.367,18.1247,18.1726,2078.37
1771030800000,18.1726,18.2137,17.9397,18.0431,3323.02
1771031700000,18.0431,18.3401,17.8,17.9133,3457.57
1771032600000,17.9133,18.0343,17.8184,18.0295,2638.95
1771033500000,18.0295,18.1601,17.2205,17.6069,8224.81
1771034400000,17.6069,17.6541,17.346,17.3813,6044.65
1771035300000,17.3813,17.6013,17.0,17.1366,6081.29
1771036200000,17.1366,17.1607,16.7782,16.9171,4775.36
1771037100000,16.9171,16.9952,16.7071,16.8829,5493.37
1771038000000,16.8829,16.9668,16.25,16.586,9566.22
1771038900000,16.586,16.625,16.3601,16.5224,8578.44
1771039800000,16.5224,16.802,16.4677,16.6976,9973.3
1771040700000,16.6976,16.8567,16.4061,16.4704,5230.51
1771041600000,16.4704,16.4737,15.8037,15.8416,10417.86
1771042500000,15.8416,15.8772,15.4091,15.7258,10061.3
1771043400000,15.7258,15.8,14.7445,14.8125,9697.16
1771044300000,14.8125,14.88,14.27,14.5675,11074.9
1771045200000,14.5675,14.5862,13.9087,14.4464,13299.23
1771046100000,14.4464,15.356,14.4219,15.2608,11433.99
1771047000000,15.2608,15.85,15.1503,15.476,18690.96
1771047900000,15.476,15.6957,15.2826,15.3576,12136.66
1771048800000,15.3576,15.4217,14.5068,14.5835,10963.08
1771049700000,14.5835,15.3133,14.5685,14.9338,12920.72
1771050600000,14.9338,15.0137,14.5399,14.5542,6992.21
1771051500000,14.5542,14.5752,14.2254,14.5018,7301.44
1771052400000,14.5018,14.6201,14.4636,14.5252,6465.96
