direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
short,2026-02-26 04:45,2026-02-26 07:15,0.41,0.369,24365.853659,980.019,9.81,take_profit_10.00pct
short,2026-02-26 13:45,2026-02-26 16:30,0.3911,0.41847700000000004,28021.091744,-789.8187,-7.207,stop_loss_7.00pct
long,2026-02-27 02:30,2026-02-27 03:15,0.4994,0.46444199999999997,20342.533221,-730.7413,-7.193,stop_loss_7.00pct
long,2026-02-27 04:00,2026-02-27 09:00,0.4682,0.51502,20117.239442,922.1095,9.79,take_profit_10.00pct
long,2026-02-27 11:00,2026-02-27 12:00,0.5008,0.465744,20628.314665,-743.0844,-7.193,stop_loss_7.00pct
long,2026-02-27 12:00,2026-02-27 13:45,0.4808,0.447144,19920.940174,-688.9447,-7.193,stop_loss_7.00pct
short,2026-02-27 22:15,2026-02-28 06:45,0.4227,0.38043000000000005,21008.17202,871.1431,9.81,take_profit_10.00pct
short,2026-02-28 09:30,2026-02-28 22:15,0.3936,0.421152,24749.863195,-702.0732,-7.207,stop_loss_7.00pct
short,2026-03-01 07:00,2026-03-03 06:00,0.4027,0.36243000000000003,22424.716785,885.8855,9.81,take_profit_10.00pct
short,2026-03-03 09:30,2026-03-03 19:15,0.3714,0.33426,26673.135842,971.8181,9.81,take_profit_10.00pct
short,2026-03-04 09:45,2026-03-04 19:45,0.3003,0.321321,36188.286817,-783.2094,-7.207,stop_loss_7.00pct
short,2026-03-05 08:00,2026-03-05 17:30,0.2925,0.312975,34441.193237,-726.0367,-7.207,stop_loss_7.00pct
long,2026-03-05 22:00,2026-03-06 02:00,0.3421,0.318153,27298.054068,-671.7301,-7.193,stop_loss_7.00pct
short,2026-03-06 07:45,2026-03-10 04:45,0.3116,0.333412,27786.48023,-624.0013,-7.207,stop_loss_7.00pct
long,2026-03-10 07:00,2026-03-10 13:00,0.3292,0.36212,24381.019604,785.7681,9.79,take_profit_10.00pct
long,2026-03-10 16:30,2026-03-11 01:30,0.3388,0.315084,25983.434867,-633.2133,-7.193,stop_loss_7.00pct
short,2026-03-11 11:30,2026-03-13 16:45,0.306,0.32742,26672.56361,-588.2212,-7.207,stop_loss_7.00pct
long,2026-03-13 18:00,2026-03-14 06:30,0.3201,0.35211000000000003,23636.393733,740.7123,9.79,take_profit_10.00pct
long,2026-03-14 10:15,2026-03-15 04:45,0.3506,0.38566000000000006,23669.18213,812.4149,9.79,take_profit_10.00pct
long,2026-03-15 12:45,2026-03-15 14:30,0.4305,0.40036499999999997,21142.20506,-654.6867,-7.193,stop_loss_7.00pct
short,2026-03-16 13:00,2026-03-20 18:45,0.3325,0.35577500000000006,25379.204746,-608.1689,-7.207,stop_loss_7.00pct
long,2026-03-20 21:00,2026-03-22 00:00,0.3515,0.32689499999999994,22254.86856,-562.6786,-7.193,stop_loss_7.00pct
short,2026-03-22 00:00,2026-03-24 06:15,0.3297,0.3221,21997.718406,152.8445,2.1074,end_of_data
