tp_pct,sl_pct,trades,win_rate,total_return,max_dd,profit_factor
10.0,10.0,33,69.697,205.4368,49.5436,2.2304
10.0,9.0,36,63.8889,151.7831,46.0784,1.8488
9.0,10.0,33,69.697,147.4858,50.0036,1.9907
8.0,10.0,37,70.2703,124.2572,47.0338,1.813
9.0,9.0,36,63.8889,104.0119,46.57,1.655
7.000000000000001,10.0,39,71.7949,100.3583,48.6917,1.6685
8.0,9.0,40,65.0,86.92,43.3962,1.5437
10.0,8.0,38,55.2632,68.8771,42.4171,1.3647
7.000000000000001,9.0,42,66.6667,67.0001,46.4469,1.4302
3.0,10.0,77,84.4156,63.4753,43.5276,1.4476
10.0,7.000000000000001,41,51.2195,60.0159,38.551,1.3286
5.0,10.0,48,75.0,52.8256,47.292,1.372
6.0,10.0,41,70.7317,45.9993,49.1725,1.3209
9.0,8.0,38,55.2632,39.3604,42.942,1.243
4.0,10.0,58,77.5862,34.6088,43.1549,1.2586
9.0,7.000000000000001,41,51.2195,32.048,39.1112,1.2071
10.0,6.0,45,44.4444,29.2431,35.4642,1.1901
5.0,9.0,51,70.5882,28.7981,46.3833,1.2129
10.0,3.0,64,29.6875,28.2725,31.3342,1.2259
6.0,9.0,44,65.9091,23.0451,48.4265,1.1712
10.0,2.0,81,22.2222,22.2109,25.0733,1.2024
3.0,9.0,80,80.0,21.7337,39.6493,1.1857
10.0,5.0,51,39.2157,20.2834,30.4921,1.1534
10.0,4.0,55,34.5455,19.3385,32.2588,1.1593
7.000000000000001,3.0,74,36.4865,18.9571,26.5092,1.1628
7.000000000000001,4.0,63,42.8571,18.3418,27.2566,1.1541
9.0,6.0,46,45.6522,16.978,36.0525,1.1273
8.0,7.000000000000001,46,52.1739,16.7555,35.4943,1.1242
5.0,2.0,104,35.5769,15.0455,22.2853,1.163
7.000000000000001,2.0,93,27.957,13.5341,23.5374,1.1452
9.0,3.0,66,30.303,13.3045,30.4229,1.1328
8.0,2.0,91,25.2747,13.1701,23.3092,1.1425
