direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,exit_reason
short,2026-02-17 00:00,2026-02-17 12:00,12.9,11.868,774.418605,780.0192,7.808,take_profit_8.00pct
short,2026-02-18 13:00,2026-02-18 13:30,9.1726,9.814682,1172.977038,-775.4191,-7.207,stop_loss_7.00pct
short,2026-02-18 15:00,2026-02-18 16:30,9.1329,8.402268,1092.078777,778.7579,7.808,take_profit_8.00pct
short,2026-02-18 17:30,2026-02-18 20:00,8.7577,8.057084,1226.560806,838.7238,7.808,take_profit_8.00pct
short,2026-02-19 05:30,2026-02-19 07:00,8.3177,8.899939000000002,1390.88868,-833.7775,-7.207,stop_loss_7.00pct
short,2026-02-19 08:00,2026-02-19 09:00,8.6278,9.231746000000001,1243.014685,-772.9134,-7.207,stop_loss_7.00pct
short,2026-02-19 12:00,2026-02-19 14:00,8.615,7.925800000000001,1153.989217,776.2415,7.808,take_profit_8.00pct
short,2026-02-19 20:30,2026-02-20 11:00,8.32,7.654400000000001,1286.915951,836.0135,7.808,take_profit_8.00pct
short,2026-02-20 15:30,2026-02-20 22:00,7.8182,8.365474,1474.970083,-831.0832,-7.207,stop_loss_7.00pct
short,2026-02-20 23:30,2026-02-23 01:00,8.0925,7.4451,1320.95488,834.6617,7.808,take_profit_8.00pct
short,2026-02-23 05:00,2026-02-23 23:00,8.0302,8.592314000000002,1433.708325,-829.7394,-7.207,stop_loss_7.00pct
long,2026-02-25 01:30,2026-02-26 02:00,8.883,9.593639999999999,1201.456941,831.6045,7.792,take_profit_8.00pct
long,2026-02-26 09:30,2026-02-26 12:30,10.2157,11.032956,1124.998026,895.5067,7.792,take_profit_8.00pct
long,2026-02-26 23:00,2026-02-27 09:00,11.1348,10.355364,1111.44887,-890.1885,-7.193,stop_loss_7.00pct
long,2026-02-27 10:00,2026-02-28 04:00,10.9895,11.86866,1044.095439,894.0608,7.792,take_profit_8.00pct
long,2026-02-28 10:00,2026-02-28 11:30,11.4224,12.336192,1081.714834,962.7623,7.792,take_profit_8.00pct
long,2026-02-28 20:00,2026-03-01 19:00,13.1052,14.153616000000001,1015.262897,1036.743,7.792,take_profit_8.00pct
long,2026-03-01 19:30,2026-03-02 17:00,14.3552,13.350335999999999,998.079049,-1030.586,-7.193,stop_loss_7.00pct
long,2026-03-02 19:30,2026-03-03 10:30,14.2251,15.363108,933.824107,1035.0691,7.792,take_profit_8.00pct
long,2026-03-03 23:00,2026-03-04 07:00,18.2743,19.736244000000003,782.765502,1114.606,7.792,take_profit_8.00pct
long,2026-03-04 10:00,2026-03-04 11:00,18.3374,17.053781999999998,840.014315,-1107.9866,-7.193,stop_loss_7.00pct
long,2026-03-05 02:30,2026-03-05 10:00,18.1132,16.845276,788.452411,-1027.2608,-7.193,stop_loss_7.00pct
short,2026-03-08 08:00,2026-03-08 15:00,15.9162,14.642904,831.912218,1033.848,7.808,take_profit_8.00pct
short,2026-03-09 01:00,2026-03-09 07:30,13.981,12.86252,1019.988165,1113.4563,7.808,take_profit_8.00pct
short,2026-03-09 14:00,2026-03-09 14:30,12.9912,13.900584,1182.226192,-1106.8898,-7.207,stop_loss_7.00pct
short,2026-03-09 15:30,2026-03-09 20:00,12.9556,11.919152,1098.937564,1111.6558,7.808,take_profit_8.00pct
short,2026-03-10 03:00,2026-03-10 04:30,11.9396,10.984432000000002,1284.272697,1197.2555,7.808,take_profit_8.00pct
long,2026-03-11 14:00,2026-03-11 18:00,15.1692,14.107356,1088.681461,-1187.8827,-7.193,stop_loss_7.00pct
long,2026-03-12 00:00,2026-03-12 02:30,14.5455,15.709140000000001,1052.642917,1193.0501,7.792,take_profit_8.00pct
long,2026-03-12 21:30,2026-03-13 06:00,18.4593,19.936044,893.195481,1284.7265,7.792,take_profit_8.00pct
long,2026-03-13 18:00,2026-03-14 01:30,19.4663,21.023604000000002,912.074579,1383.4476,7.792,take_profit_8.00pct
long,2026-03-14 03:00,2026-03-14 14:30,21.2865,22.989420000000003,898.176158,1489.7546,7.792,take_profit_8.00pct
long,2026-03-15 02:30,2026-03-15 06:30,22.0106,23.771448000000003,935.375346,1604.2304,7.792,take_profit_8.00pct
long,2026-03-15 12:30,2026-03-15 19:00,24.1459,22.9453,918.177023,-1145.6014,-5.1673,end_of_data
